logt,a94,a131,a171,a211,a304,a335
7.4,1.59E-29,5.09E-28,2.54E-28,1.42E-26,2.48E-28,4.97E-30
7.45,1.53E-29,3.75E-28,2.41E-28,1.22E-26,2.34E-28,4.69E-30
7.5,1.48E-29,2.98E-28,2.30E-28,1.04E-26,2.21E-28,4.45E-30
7.55,1.44E-29,2.51E-28,2.20E-28,8.70E-27,2.08E-28,4.24E-30
7.6,1.39E-29,2.20E-28,2.11E-28,7.22E-27,1.97E-28,4.05E-30
7.65,1.35E-29,1.98E-28,2.02E-28,5.91E-27,1.86E-28,3.87E-30
7.7,1.31E-29,1.82E-28,1.94E-28,4.75E-27,1.77E-28,3.72E-30
7.75,1.27E-29,1.70E-28,1.86E-28,3.74E-27,1.67E-28,3.57E-30
7.8,1.23E-29,1.60E-28,1.79E-28,2.89E-27,1.59E-28,3.43E-30
7.85,1.20E-29,1.52E-28,1.72E-28,2.18E-27,1.51E-28,3.30E-30
7.9,1.16E-29,1.46E-28,1.65E-28,1.61E-27,1.44E-28,3.17E-30
7.95,1.12E-29,1.40E-28,1.59E-28,1.18E-27,1.38E-28,3.05E-30
8,1.08E-29,1.34E-28,1.53E-28,8.59E-28,1.32E-28,2.93E-30
8.05,1.05E-29,1.29E-28,1.47E-28,6.34E-28,1.27E-28,2.82E-30
8.1,1.01E-29,1.24E-28,1.42E-28,4.80E-28,1.22E-28,2.71E-30
8.15,9.80E-30,1.20E-28,1.37E-28,3.78E-28,1.17E-28,2.61E-30
8.2,9.46E-30,1.16E-28,1.31E-28,3.10E-28,1.13E-28,2.51E-30
8.25,9.14E-30,1.12E-28,1.27E-28,2.65E-28,1.09E-28,2.41E-30
8.3,8.82E-30,1.07E-28,1.22E-28,2.35E-28,1.04E-28,2.32E-30
8.35,8.51E-30,1.04E-28,1.17E-28,2.14E-28,1.00E-28,2.23E-30
8.4,8.21E-30,9.98E-29,1.13E-28,1.98E-28,9.67E-29,2.14E-30
8.45,7.92E-30,9.62E-29,1.09E-28,1.86E-28,9.30E-29,2.06E-30
8.5,7.64E-30,9.27E-29,1.05E-28,1.76E-28,8.95E-29,1.98E-30
8.55,7.23E-30,8.77E-29,9.90E-29,1.65E-28,8.45E-29,1.87E-30
8.6,6.96E-30,8.42E-29,9.51E-29,1.57E-28,8.11E-29,1.79E-30
8.65,6.69E-30,8.09E-29,9.12E-29,1.50E-28,7.78E-29,1.71E-30
8.7,6.43E-30,7.77E-29,8.76E-29,1.44E-28,7.47E-29,1.64E-30
8.75,6.18E-30,7.46E-29,8.40E-29,1.38E-28,7.16E-29,1.57E-30
8.8,5.93E-30,7.16E-29,8.06E-29,1.32E-28,6.87E-29,1.51E-30
8.85,5.70E-30,6.87E-29,7.73E-29,1.26E-28,6.58E-29,1.44E-30
8.9,5.47E-30,6.59E-29,7.41E-29,1.21E-28,6.31E-29,1.38E-30
8.95,5.25E-30,6.32E-29,7.10E-29,1.16E-28,6.04E-29,1.32E-30
9,5.04E-30,6.06E-29,6.80E-29,1.11E-28,5.79E-29,1.27E-30
